feature_id	state	evidence
WM-FEAT-0001	live-fire-certified	.agent/state/evidence/EP-012/M5/evidence.json
WM-FEAT-0002	live-fire-certified	.agent/state/evidence/EP-009/M5/evidence.json
WM-FEAT-0003	live-fire-certified	.agent/state/evidence/EP-012/M5/evidence.json
WM-FEAT-0004	live-fire-certified	.agent/state/evidence/EP-012/M5/evidence.json
WM-FEAT-0005	live-fire-certified	.agent/state/evidence/EP-009/M5/evidence.json
WM-FEAT-0006	live-fire-certified	.agent/state/evidence/EP-009/M5/evidence.json
WM-FEAT-0007	live-fire-certified	.agent/state/evidence/EP-009/M5/evidence.json
WM-FEAT-0008	live-fire-certified	.agent/state/evidence/EP-009/M5/evidence.json
WM-FEAT-0009	live-fire-certified	.agent/state/evidence/EP-009/M5/evidence.json
WM-FEAT-0010	live-fire-certified	.agent/state/evidence/EP-009/M5/evidence.json
WM-FEAT-0011	live-fire-certified	.agent/state/evidence/EP-012/M5/evidence.json
WM-FEAT-0012	live-fire-certified	.agent/state/evidence/EP-012/M5/evidence.json
WM-FEAT-0013	live-fire-certified	.agent/state/evidence/EP-009/M5/evidence.json
WM-FEAT-0014	live-fire-certified	.agent/state/evidence/EP-009/M5/evidence.json
WM-FEAT-0015	live-fire-certified	.agent/state/evidence/EP-009/M5/evidence.json
WM-FEAT-0016	live-fire-certified	.agent/state/evidence/EP-009/M5/evidence.json
WM-FEAT-0017	live-fire-certified	.agent/state/evidence/EP-009/M5/evidence.json
WM-FEAT-0018	live-fire-certified	.agent/state/evidence/EP-012/M5/evidence.json
WM-FEAT-0019	live-fire-certified	.agent/state/evidence/EP-012/M5/evidence.json
WM-FEAT-0020	live-fire-certified	.agent/state/evidence/EP-009/M5/evidence.json
WM-FEAT-0021	live-fire-certified	.agent/state/evidence/EP-012/M5/evidence.json
WM-FEAT-0022	live-fire-certified	.agent/state/evidence/EP-011/M5/evidence.json
WM-FEAT-0023	live-fire-certified	.agent/state/evidence/EP-011/M5/evidence.json
WM-FEAT-0024	live-fire-certified	.agent/state/evidence/EP-011/M5/evidence.json
WM-FEAT-0025	live-fire-certified	.agent/state/evidence/EP-011/M5/evidence.json
WM-FEAT-0026	live-fire-certified	.agent/state/evidence/EP-011/M5/evidence.json
WM-FEAT-0027	live-fire-certified	.agent/state/evidence/EP-011/M5/evidence.json
WM-FEAT-0028	live-fire-certified	.agent/state/evidence/EP-011/M5/evidence.json
WM-FEAT-0029	live-fire-certified	.agent/state/evidence/EP-011/M5/evidence.json
WM-FEAT-0030	live-fire-certified	.agent/state/evidence/EP-011/M5/evidence.json
WM-FEAT-0031	live-fire-certified	.agent/state/evidence/EP-011/M5/evidence.json
